핸들,댓글 내용
,"델피어 아쿠아 테카 카밍 선 세럼
 ~43% off 
https://abit.ly/delphyr_simtohl_sunserum
기간: 5/23(목)~6/5(수) ""런칭특가""

심쿵이들~ 드디어!!! 심쿵이들 덕분에 제 오랜 버킷리스트를 이뤘어요!
제가 6개월동안 아주 오래오래 몰래 준비했던 선세럼! 
델피어 아쿠아 테카 카밍 선 세럼이 세상에 나왔어요.ㅠㅠㅠㅠㅠㅠㅠ
다 심쿵이들 덕분이거 알죠?
  내 사랑들이야!!

이번 영상은 특히 떨리고 설레서 더 진심 이었던 것 같아요!!! 
너무 진지해서 평소 텐션 안나온거 같기두 하고....ㅋㅋㅋㅋㅋㅋㅋㅋ
진짜 좋아요... 정말 자신있게 잘 만들었어요!

어떤 피부타입이든 써보면 깜짝 놀랄거에요!
더더 유명해질수 있도록 심쿵이들이 써보고 소문 많이 내주고,, 우리 천천히 같이 이쁘게 늙자:)

진짜 오랫동안 고민해서 만든 제품인데, 원래 런칭 특가가 제일 저렴한거 아시죠? 
진짜 저도 이 특가에  30개 쟁여서 주변 친구, 가족들 나눠줄거에요~~!!! 
(특히나 4번 세트 구매시 만원대에 가져갈 수 있는 거에요~!!)

아래 런칭 프로모션 내용 자세히 적어두었으니, 
다들 댓글 이벤트 부터 런칭 프로모션 꼭 놓치지 마세요! 
(
신규회원쿠폰 적용 잊지 말기!!!!!) 
진짜 좋은 성분들만 꽉꽉넣어서 만들었으니까, 심톨 이름 걸고 자신있게 추천드려요!!
고마워요 심쿵이들~~ 
댓글 이벤트
 
*델피어 아쿠아 테카 카밍 선 세럼*에 대한 기대평을 댓글에 남겨주시면, 30분을 선정하여 본품 1개씩 선물을 드립니다! 

방법: 심톨채널 구독 + 댓글 + 구글 폼 작성 
결과: 총 30분을 선정하여 “델피어 아쿠아 테카 카밍 선세럼 본품”을 선물로 드립니다!
 구글 폼 링크 : 
이벤트 참여 기간: 5/23(목) - 5/30(목) 
당첨자 발표: 5/31(금) 유튜브 댓글
 제품 보러 가기: "
@igotacolde9869,"세럼 로션 앰플 제형들은 자외선 차단 효과를 사기친 전적이 있어서 실제 피부과학 연구소 등의 자외선차단 실험 결과가 있으면 좋겠어요,,,, 자외선차단이 원료적 특성에 한한다는 문구가 구매를 망설이게 되네요"
@Rumi_park,"어제 구매하고 오늘 받았는데 이건 정말 미쳤어요.. 저는 핏줄이 비칠정도로 하얗고 얇은 피부에 약국 크림을 섞어쓸 정도로 악건성입니다. 근데 또 여드름과 트러블은 올라오는 초초초예민한 피부라 정말 많은 관리를 필요로 하는 피부에요. 그래서 특히 더 선크림을 잘 발라야하는데 바르기만하면 트러블이 올라와서 모자나 마스크를 쓰고 다닐정도로 어려움이 많았어요.

근데 요새 기미가 올라오는 걸 보고 심각성을 느끼다 심톨님의 이 영상이 알고리즘에 뜨길래 보게 됐고 정말 자신있게 말씀하시는 걸 보고 반신반의하며 구매했어요. 솔직히 기대 없이 오늘 받고 사용한 뒤 메이크업까지 하고 외출을 했는데 세상에.. 피부가 너무 편안했고 건조함이 싹 잡혀서 좋았어요. 목까지 발랐는데 트러블이나 알러지도 없었고 오히려 스킨케어광이 나서 너무 예쁘고 좋았습니다! 특히 메이크업 궁합과도 매우 좋고요.. 

기대 안했어서 1개만 샀는데 정말 계속 잘 쓸 것 같아서 남은 기간 동안 주변에 추천하고 저도 추가구매하려합니다!! 평소에 건조하시고 선크림 유목민이신 분들 제발 속는셈치고 한 번만 써보세요.. 이게 선크림이라는 생각이 전혀 안 들고 내가 기초를 바르고 있다고 착각하실정도로 투명하고 촉촉합니다. 

정말 이런 좋은 제품을 알게되어 행복하고 이번 기회로 심톨님 구독과 영상 정주행도 하러갑니당
️‍"
@2sour,"꺄아아아아 선크림런칭이라니
바로 구매하러 달려갑니닷
그동안 화장품 만드실거라고해서 기대중이었는데!!!!!!!!"
@helenb9302,"베리쉬에서 나온 스킨케어 브랜드라니요...!! 
 심톨언니가 이렇게 뭔가를 추천할 때에는 근거가 있다라는 생각이 항상 들었었는데, 추천뿐 아니라 공동 개발까지 한 제품이면 뭐 두말 할 것도 없이 좋을 수 밖에 없다는 생각이 들어요! 기존에 이미 스킨케어나 화장품 브랜드로 이름 날리는 곳과 함께 일해도 제품 개발이 정말 힘든 일이라는 것을 알고있는데, 신생 브랜드와 함께 이 모든 과정을 지나오시면서 정말 얼마나 고생도 많으셨을까요.
 근데 구독자들에게 믿음을 주기 위해서 언니는 언니 몸을 갈아서라도 일하신 다는걸 여태껏 많이 봐서 너무 감사할 따름이에요.
저는 지성 트러블성 피부라서 유독 선제품에 있어서 호불호가 강하고 트러블 반응이 일어나는 피부에요. 제가 생각했을 때는 그 이유가 선제품에는 크림형태가 압도적으로 많이 나오잖아요. 아무리 수분감이 뛰어나다고 해도 크림제형인 이상 극 지성인 제 피부에서는 번들거림이 심해질 수 밖에 없더라고요
 유분이 너어어무 많아서 닦아내 주지 않으면 바로 여드름이 그 자리에 생기는 스타일인지라 선크림 바르는 일이 싫어지기만 하더라고요. 하지만 자외선이 가장 강한 여름에 안 바를 수도 없는 노릇이라서 반쯤 포기하며 살았는데, 심톨 언니가 이번에 개발한 델피어의 선 세럼은 이런 제 마음을 1000% 반영해 준 것만 같아요
세럼 제형이라서 저같은 유분 폭발 피부는 기초 스킨케어로 사용해도 정말 안성맞춤이라고 생각해요! 그리고 예전에 한국 화장품 중에서 선 지수로 사기친 사건(?)이 있었잖아요
 그 때 정말 신뢰도가 많이 깎여나갔었는데, 언니가 자외선 차단력까지 직접 인증을 해주셔서 너무 좋았어요! 좋은 제품 만드시느라 심톨언니도 델피어 담당자님들도 너무 고생 많으셨어요"
@kakome97,항상 뻑뻑한 발림성 때문에 선크림을 싫어했었는데 심톨님이 만드신 투명선크림은 넘넘 기대가 됩니다...!!
@user-vo7mv7md4m,"선크림 런칭 축하드립니다 심톨님
 주문하러 가겠습니다~ 저도 그 특유의 텁텁하고 느끼한 느낌이 너무 싫어 썬그림을 안 발라 버릇 했는데 이제 진짜 발라야겠더라고요 믿고 주문하겠습니다 다시한번 축하드립니다"
@user-fi9zq3se5f,아묻따 구매완🥹 인스타 보면서 기다렸는데 드디어!!!!!!!!
@miushin3731,눈시림없는 화잘먹 유기자차 기대해요! 색도 너무너무 예쁘요오옹
@yu-gn4st,"시중에 나오는 수분 선크림들 대부분 발라보면 아무래도 ""크림"" 제형이다 보니까 수분감보다는 유분감이 더 느껴지는 경우가 많아서 유분 많은 지성피부인 저는 좀 멀리했었는데, 이 아쿠아 테카 선세럼은 ""세럼"" 제형이라서 유분감이 아닌 수분감이 촉촉하게 그대로 느껴질 것 같아서 너무 기대돼요
그리고 세럼 제형이라 크림 제형보다 피부에 더 잘 스며들어서 많이 발라도 밀리지 않고 화장 잘 먹게 해줄 것 같아요! 심지어 메이크업 완성도 중요시하시는 청담샵 선생님도 오히려 화잘먹템이라고 얘기하신다고 하니까 더 기대가 되는 것 같아요
언니 말처럼 자차 제품은 진짜 양이 너무 중요한데, 화장 밀릴 걱정 없이 맘껏 발라서 자외선 차단 완벽하게 해줄 수 있다는 게 진짜 너무 큰 매리트에요
 그리고 캡슐 안에 자차 성분을 넣어서 더 신선하게 자차 기능을 온전하게 받을 수 있도록 만들어진 거 보니까 더 믿음직스러워요! 게다가 언니가 직접 UV 차단 확인 기계(?) 사용해서 자차 잘되는 거 그대로 보여주시니까 이건 안 믿을 수가 없어요...
 진짜 선 제품의 근본, 존재 이유인 자차 기능부터 완벽하고 철저하게 챙기고 다 증명해주시는 거 최고에요...
그리고 저도 유독 선크림에 진짜 예민한 피부라서 안 맞는 수분 선크림은 바르는 즉시 눈이나 피부에서 온갖 따가움을 느끼고 눈물까지 줄줄 나는데, 저랑 똑같이 피부도 예민하고 안구건조증 있는 언니가 발라도 눈시림 없었다고 하니까 너무 믿음직스럽습니다
마지막으로 '테카' 성분 들어갔다고 하니까 진짜 너무 기대되는데요...? 제가 테카 들어간 진정 세럼이 진짜 잘 맞는 피부인데, 이 제품도 역시나 너무 잘 맞을 것 같아서 더 기대돼요
 성분에 진심인 심톨 언니가 만든 선 세럼 진짜 너무 기대됩니다"
